stop,title,category,where,latitude,longitude,track,duration,seconds,admission,page,audio
1,Hampstead Underground Station,Village,Heath Street,51.55654,-0.17812,02,1:36,96,free,https://hampstead-heath.blankm.workers.dev/stops/hampstead-underground-station/,https://hampstead-heath.blankm.workers.dev/audio/01-hampstead-underground-station.m4a
2,Church Row and Saint John-at-Hampstead,Village,Church Row,51.55618,-0.18108,03,2:33,153,free,https://hampstead-heath.blankm.workers.dev/stops/church-row-and-saint-john-at-hampstead/,https://hampstead-heath.blankm.workers.dev/audio/02-church-row-and-saint-john-at-hampstead.m4a
3,"Saint Mary's, Holly Walk",Village,Holly Place,51.55690,-0.18029,04,2:00,120,free,https://hampstead-heath.blankm.workers.dev/stops/saint-mary-s-holly-walk/,https://hampstead-heath.blankm.workers.dev/audio/03-saint-mary-s-holly-walk.m4a
4,Holly Bush Hill,House & museum,Holly Bush Hill,51.55800,-0.17946,05,2:19,139,free,https://hampstead-heath.blankm.workers.dev/stops/holly-bush-hill/,https://hampstead-heath.blankm.workers.dev/audio/04-holly-bush-hill.m4a
5,Fenton House,House & museum,Hampstead Grove,51.55888,-0.17970,06,1:49,109,charges at the door,https://hampstead-heath.blankm.workers.dev/stops/fenton-house/,https://hampstead-heath.blankm.workers.dev/audio/05-fenton-house.m4a
6,Admiral's House,House & museum,Admiral's Walk,51.55976,-0.18001,07,2:47,167,free,https://hampstead-heath.blankm.workers.dev/stops/admiral-s-house/,https://hampstead-heath.blankm.workers.dev/audio/06-admiral-s-house.m4a
7,Hampstead Observatory,High ground,Lower Terrace,51.56057,-0.18004,08,1:31,91,free,https://hampstead-heath.blankm.workers.dev/stops/hampstead-observatory/,https://hampstead-heath.blankm.workers.dev/audio/07-hampstead-observatory.m4a
8,Whitestone Pond,High ground,the top of Heath Street,51.56056,-0.17920,09,2:11,131,free,https://hampstead-heath.blankm.workers.dev/stops/whitestone-pond/,https://hampstead-heath.blankm.workers.dev/audio/08-whitestone-pond.m4a
9,The Hill Garden and Pergola,High ground,"Inverforth Close, North End Way",51.56560,-0.18397,10,2:04,124,free,https://hampstead-heath.blankm.workers.dev/stops/the-hill-garden-and-pergola/,https://hampstead-heath.blankm.workers.dev/audio/09-the-hill-garden-and-pergola.m4a
10,Golders Hill Park,High ground,North End Way,51.56682,-0.18938,11,1:42,102,free,https://hampstead-heath.blankm.workers.dev/stops/golders-hill-park/,https://hampstead-heath.blankm.workers.dev/audio/10-golders-hill-park.m4a
11,Jack Straw's Castle,Village,North End Way,51.56145,-0.18010,12,2:30,150,free,https://hampstead-heath.blankm.workers.dev/stops/jack-straw-s-castle/,https://hampstead-heath.blankm.workers.dev/audio/11-jack-straw-s-castle.m4a
12,The Vale of Health,Village,off East Heath Road,51.56294,-0.17628,13,2:07,127,free,https://hampstead-heath.blankm.workers.dev/stops/the-vale-of-health/,https://hampstead-heath.blankm.workers.dev/audio/12-the-vale-of-health.m4a
13,The Spaniards Inn,Village,Spaniards Road,51.57023,-0.17372,14,1:50,110,free,https://hampstead-heath.blankm.workers.dev/stops/the-spaniards-inn/,https://hampstead-heath.blankm.workers.dev/audio/13-the-spaniards-inn.m4a
14,Kenwood House,House & museum,Hampstead Lane,51.57155,-0.16734,15,2:11,131,free,https://hampstead-heath.blankm.workers.dev/stops/kenwood-house/,https://hampstead-heath.blankm.workers.dev/audio/14-kenwood-house.m4a
15,Dido Elizabeth Belle,House & museum,inside Kenwood,51.57155,-0.16734,16,2:27,147,free,https://hampstead-heath.blankm.workers.dev/stops/dido-elizabeth-belle/,https://hampstead-heath.blankm.workers.dev/audio/15-dido-elizabeth-belle.m4a
16,The Kenwood Ladies' Pond,Water,off Millfield Lane,51.56699,-0.16042,17,1:53,113,charges at the door,https://hampstead-heath.blankm.workers.dev/stops/the-kenwood-ladies-pond/,https://hampstead-heath.blankm.workers.dev/audio/16-the-kenwood-ladies-pond.m4a
17,The Highgate Men's Pond,Water,Millfield Lane,51.56475,-0.15905,18,1:37,97,charges at the door,https://hampstead-heath.blankm.workers.dev/stops/the-highgate-men-s-pond/,https://hampstead-heath.blankm.workers.dev/audio/17-the-highgate-men-s-pond.m4a
18,The Tumulus,High ground,south of the Highgate Ponds,51.56060,-0.15760,19,1:51,111,free,https://hampstead-heath.blankm.workers.dev/stops/the-tumulus/,https://hampstead-heath.blankm.workers.dev/audio/18-the-tumulus.m4a
19,Parliament Hill,High ground,Parliament Hill Fields,51.55940,-0.15450,20,1:48,108,free,https://hampstead-heath.blankm.workers.dev/stops/parliament-hill/,https://hampstead-heath.blankm.workers.dev/audio/19-parliament-hill.m4a
20,Parliament Hill Lido,Water,Gordon House Road,51.55644,-0.15131,21,1:11,71,charges at the door,https://hampstead-heath.blankm.workers.dev/stops/parliament-hill-lido/,https://hampstead-heath.blankm.workers.dev/audio/20-parliament-hill-lido.m4a
21,The Hampstead Ponds and the River Fleet,Water,the Hampstead chain,51.55758,-0.16554,22,2:42,162,free,https://hampstead-heath.blankm.workers.dev/stops/the-hampstead-ponds-and-the-river-fleet/,https://hampstead-heath.blankm.workers.dev/audio/21-the-hampstead-ponds-and-the-river-fleet.m4a
